zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein/g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,,,,,,,,,,,
苋菜,0.5,Amaranth,25,2.8,0.3,5,32.4,5,,,,,,,,,,,
橄榄,1.2,Olive,130,1.15,12.9,4.69,1620,25,,,,,,,,,,,
黑豆,0.7,black beans,177,21,0.9,62,2,7.8,,,,,,,,,,,
啤酒,0.7,beer,43,0.5,0,3.6,4,10,,,,,,,,,,,
玉米片,1.2,corn flakes,357,8,0.4,84,729,4.5,,,,,,,,,,,
培根,6,bacon,512,40.9,36.5,2.1,1830,60,,,,,,,,,,,
羊肉,30,lamb/Mutton,294,25,21,0,72,58,,,,,,,,,,,
鹅肉,4.5,goose,144,10.8,19.9,0,58,26,,,,,,,,,,,
洋葱,0.5,onion,33,0.89,0.13,7.68,2,3.5,,,,,,,,,,,
奶酪,18.2,cheese,105,11.6,4.22,4.6,350,100,,,,,,,,,,,
苹果,0.86,apple,58,0.15,0.16,15.6,1,7.28,,,,,,,,,,,
香蕉,1,banana,88,0.74,0.29,23,4,6.75,,,,,,,,,,,
葡萄,1,grape,77,0.91,0.16,20.2,7,12,,,,,,,,,,,
麦片,1.5,oatmeal,67,2.4,1.4,12,49,7.74,,,,,,,,,,,
龙虾,21,lobster,90,21.4,1.1,10,63,400,,,,,,,,,,,
梨,0.6,pear,57,0.31,0.37,14.8,0,6,,,,,,,,,,,
猕猴桃,0.7,kiwi fruit,58,1,0.64,13.8,2,9.5,,,,,,,,,,,
燕麦,0.5,oat,379,12.5,5.8,69.8,2.5,7.25,,,,,,,,,,,
面粉,0.6,flour,366,11.4,1.52,74.4,2.5,3.6,,,,,,,,,,,
蜂蜜,1.2,honey,304,0.3,0,82,4,70,,,,,,,,,,,
芒果,1.1,mango,78,0.69,0.68,17.4,2.5,14.5,,,,,,,,,,,
大米,5,rice,370,7.04,1.03,80.3,0,5.18,,,,,,,,,,,
